id_incidencia,ubicacion,lat,lon,descripcion,nivel_incidencia,estado,fecha,hora,verificacion_usuario,id_tipo_incidencia,id_usuario,id_numero_emergencia,id_denuncia
18,"-6.861121,-79.81354",-6.861121,-79.81354,Venta de comida en mal estado,A,1,2025-06-01,12:54:57,1,3,2,2.0,
19,"-6.861537,-79.819855",-6.861537,-79.819855,Falta de recojo de basura hace 3 días,C,2,2025-06-01,19:19:59,1,1,12,5.0,
20,"-6.865051,-79.815923",-6.865051,-79.815923,Vandalismo en propiedad municipal,B,1,2025-06-01,20:39:07,1,2,7,4.0,
21,"-6.868274,-79.822193",-6.868274,-79.822193,Mal manejo de aguas residuales,C,P,2025-06-01,20:17:30,1,4,19,,6.0
22,"-6.856513,-79.826239",-6.856513,-79.826239,Contaminación sonora por construcción,C,3,2025-06-01,11:22:19,0,4,3,,10.0
23,"-6.876926,-79.807862",-6.876926,-79.807862,Mototaxi no respeta paradero establecido,B,3,2025-06-01,11:45:25,0,5,18,5.0,
24,"-6.86605,-79.818069",-6.86605,-79.818069,Paradero informal genera congestión,B,3,2025-06-01,10:34:51,0,5,11,5.0,
25,"-6.856084,-79.825258",-6.856084,-79.825258,Local comercial sin autorización municipal,B,2,2025-06-03,18:09:36,0,3,3,,9.0
26,"-6.865236,-79.813053",-6.865236,-79.813053,Mal manejo de aguas residuales,B,2,2025-06-02,04:07:50,0,4,21,,5.0
27,"-6.863744,-79.81582",-6.863744,-79.81582,Obstrucción de vereda por mercadería,A,2,2025-06-03,09:31:11,0,3,6,6.0,
28,"-6.874372,-79.808396",-6.874372,-79.808396,Semáforo malogrado en el cruce,C,3,2025-06-04,17:08:49,1,1,14,,5.0
29,"-6.863027,-79.815791",-6.863027,-79.815791,Consumo de alcohol en vía pública,A,2,2025-06-02,21:55:34,1,2,9,2.0,
30,"-6.865777,-79.815313",-6.865777,-79.815313,Comerciante no respeta horarios establecidos,A,1,2025-06-05,17:55:23,0,3,24,2.0,
31,"-6.85642,-79.814684",-6.85642,-79.814684,"Parque sin mantenimiento, grass alto",B,3,2025-06-02,09:07:59,1,1,17,5.0,
32,"-6.867129,-79.812904",-6.867129,-79.812904,"Parque sin mantenimiento, grass alto",C,2,2025-06-02,09:44:25,1,1,11,,6.0
33,"-6.865404,-79.817705",-6.865404,-79.817705,Robo de motocicleta en horario nocturno,C,3,2025-06-02,05:18:15,1,2,3,4.0,
34,"-6.866112,-79.816097",-6.866112,-79.816097,Mal manejo de aguas residuales,A,2,2025-06-02,15:37:34,0,4,14,,6.0
35,"-6.866355,-79.819104",-6.866355,-79.819104,Local comercial sin autorización municipal,B,2,2025-06-03,15:25:12,0,3,17,5.0,
36,"-6.860601,-79.818204",-6.860601,-79.818204,Paradero informal genera congestión,B,3,2025-06-02,19:21:54,1,5,11,1.0,
37,"-6.86588,-79.816051",-6.86588,-79.816051,Arrojo de desmonte en terreno baldío,C,2,2025-06-04,01:49:57,0,4,13,,4.0
38,"-6.866343,-79.818971",-6.866343,-79.818971,Vandalismo en propiedad municipal,C,2,2025-06-02,06:04:31,0,2,7,2.0,
39,"-6.86149,-79.816671",-6.86149,-79.816671,Tala de árbol sin autorización,C,2,2025-06-03,06:36:28,1,4,4,4.0,
40,"-6.863489,-79.815745",-6.863489,-79.815745,Ruido excesivo por música de cantina,B,1,2025-06-05,16:24:51,0,3,6,1.0,
41,"-6.860658,-79.826128",-6.860658,-79.826128,Violencia familiar reportada por vecinos,A,2,2025-06-03,12:09:02,0,2,11,4.0,
42,"-6.864658,-79.815527",-6.864658,-79.815527,Chofer de combi maneja imprudentemente,C,3,2025-06-05,14:46:16,0,5,7,,6.0
43,"-6.871348,-79.811289",-6.871348,-79.811289,Chofer de combi maneja imprudentemente,A,2,2025-06-05,04:20:18,1,5,3,,1.0
44,"-6.867246,-79.812698",-6.867246,-79.812698,Hurto en tienda del barrio,B,2,2025-06-03,01:42:40,1,2,2,,3.0
45,"-6.862612,-79.817879",-6.862612,-79.817879,Paradero informal genera congestión,C,2,2025-06-05,01:43:21,1,5,7,,12.0
46,"-6.864548,-79.818537",-6.864548,-79.818537,Vehículo de carga obstruye tránsito,C,3,2025-06-05,13:42:24,1,5,10,5.0,
47,"-6.864677,-79.816993",-6.864677,-79.816993,Quema de basura contamina el aire,C,3,2025-06-03,02:43:11,1,4,24,,3.0
48,"-6.866309,-79.820535",-6.866309,-79.820535,Chofer de combi maneja imprudentemente,B,2,2025-06-03,08:44:23,0,5,13,,11.0
49,"-6.866851,-79.818817",-6.866851,-79.818817,Falta de recojo de basura hace 3 días,B,1,2025-06-05,18:41:56,0,1,2,,1.0
50,"-6.866358,-79.820224",-6.866358,-79.820224,Violencia familiar reportada por vecinos,A,2,2025-06-03,22:14:51,1,2,11,,6.0
51,"-6.868327,-79.813433",-6.868327,-79.813433,Obstrucción de vereda por mercadería,C,P,2025-06-06,17:29:52,1,3,22,3.0,
52,"-6.866033,-79.814083",-6.866033,-79.814083,Vendedor ambulante sin licencia,C,3,2025-06-06,10:19:17,0,3,24,4.0,
53,"-6.868492,-79.815987",-6.868492,-79.815987,Quema de basura contamina el aire,C,2,2025-06-06,02:09:51,1,4,18,,10.0
54,"-6.863145,-79.818437",-6.863145,-79.818437,"Parque sin mantenimiento, grass alto",B,3,2025-06-06,19:21:36,0,1,5,,1.0
55,"-6.859458,-79.817464",-6.859458,-79.817464,Acumulación de basura en canal de regadío,C,P,2025-06-03,17:53:00,0,4,2,1.0,
56,"-6.860529,-79.811366",-6.860529,-79.811366,Violencia familiar reportada por vecinos,A,2,2025-06-06,01:58:24,1,2,24,,4.0
57,"-6.863811,-79.817652",-6.863811,-79.817652,Quema de basura contamina el aire,C,2,2025-06-03,11:09:58,0,4,11,2.0,
58,"-6.863183,-79.819171",-6.863183,-79.819171,Ciclista transita por vereda peatonal,B,2,2025-06-03,13:46:20,0,5,15,,10.0
59,"-6.867908,-79.821273",-6.867908,-79.821273,Comerciante no respeta horarios establecidos,A,2,2025-06-03,15:20:23,0,3,6,,7.0
60,"-6.865762,-79.817482",-6.865762,-79.817482,Robo de motocicleta en horario nocturno,C,2,2025-06-03,21:39:26,1,2,3,4.0,
61,"-6.861533,-79.826146",-6.861533,-79.826146,Tala de árbol sin autorización,B,2,2025-06-04,14:34:20,0,4,8,6.0,
62,"-6.863749,-79.815974",-6.863749,-79.815974,Local comercial sin autorización municipal,A,1,2025-06-04,10:51:22,1,3,14,,3.0
63,"-6.862508,-79.814988",-6.862508,-79.814988,Bache grande en la pista principal,C,2,2025-06-05,19:17:10,0,1,25,,1.0
64,"-6.865726,-79.816362",-6.865726,-79.816362,Consumo de alcohol en vía pública,A,1,2025-06-07,23:11:08,1,2,9,,3.0
65,"-6.864078,-79.812567",-6.864078,-79.812567,Mototaxi no respeta paradero establecido,B,2,2025-06-07,04:23:01,0,5,7,6.0,
66,"-6.863352,-79.818518",-6.863352,-79.818518,Paradero informal genera congestión,B,3,2025-06-07,18:29:10,0,5,23,,4.0
67,"-6.863718,-79.817266",-6.863718,-79.817266,Arrojo de desmonte en terreno baldío,C,2,2025-06-05,08:09:54,1,4,8,,6.0
68,"-6.863641,-79.815914",-6.863641,-79.815914,Mototaxi no respeta paradero establecido,B,2,2025-06-04,03:19:23,0,5,25,,12.0
69,"-6.874821,-79.821107",-6.874821,-79.821107,Ciclista transita por vereda peatonal,B,3,2025-06-04,22:43:31,0,5,4,6.0,
70,"-6.864131,-79.815029",-6.864131,-79.815029,Comerciante no respeta horarios establecidos,B,1,2025-06-06,15:59:47,1,3,18,1.0,
71,"-6.869217,-79.817232",-6.869217,-79.817232,Vendedor ambulante sin licencia,B,2,2025-06-04,12:32:05,0,3,4,,7.0
72,"-6.863746,-79.809301",-6.863746,-79.809301,Vendedor ambulante sin licencia,B,1,2025-06-06,12:03:09,1,3,15,,3.0
73,"-6.866545,-79.819006",-6.866545,-79.819006,"Parque sin mantenimiento, grass alto",B,1,2025-06-07,17:19:06,1,1,22,,3.0
74,"-6.86447,-79.817327",-6.86447,-79.817327,Acumulación de basura en canal de regadío,B,1,2025-06-04,00:38:45,1,4,18,,1.0
75,"-6.869361,-79.819687",-6.869361,-79.819687,Paradero informal genera congestión,B,1,2025-06-05,17:31:25,1,5,4,1.0,
76,"-6.86593,-79.815604",-6.86593,-79.815604,Paradero informal genera congestión,C,2,2025-06-05,21:53:14,1,5,23,2.0,
77,"-6.86425,-79.819109",-6.86425,-79.819109,Tala de árbol sin autorización,C,2,2025-06-07,05:33:45,0,4,22,1.0,
78,"-6.877845,-79.809734",-6.877845,-79.809734,Poste de alumbrado público no funciona,B,2,2025-06-06,18:29:33,0,1,21,5.0,
79,"-6.852818,-79.809483",-6.852818,-79.809483,Contaminación sonora por construcción,C,2,2025-06-05,15:30:06,1,4,6,,3.0
80,"-6.867086,-79.819029",-6.867086,-79.819029,Falta de recojo de basura hace 3 días,B,1,2025-06-07,08:25:55,1,1,13,,9.0
81,"-6.87251,-79.813916",-6.87251,-79.813916,Contaminación sonora por construcción,C,2,2025-06-05,15:33:18,0,4,17,,7.0
82,"-6.866278,-79.818498",-6.866278,-79.818498,Ruido excesivo por música de cantina,B,1,2025-06-08,09:25:02,0,3,2,,6.0
83,"-6.852185,-79.821217",-6.852185,-79.821217,Vehículo de carga obstruye tránsito,A,2,2025-06-07,17:47:05,0,5,2,,9.0
84,"-6.88011,-79.809376",-6.88011,-79.809376,Acumulación de basura en canal de regadío,C,3,2025-06-05,17:36:49,0,4,12,6.0,
85,"-6.868774,-79.818663",-6.868774,-79.818663,Robo de motocicleta en horario nocturno,B,1,2025-06-05,20:08:53,0,2,3,,4.0
86,"-6.863815,-79.820396",-6.863815,-79.820396,Arrojo de desmonte en terreno baldío,C,3,2025-06-08,20:13:20,1,4,3,,8.0
87,"-6.867896,-79.818564",-6.867896,-79.818564,Consumo de alcohol en vía pública,B,1,2025-06-05,00:04:00,1,2,20,,3.0
88,"-6.860677,-79.824652",-6.860677,-79.824652,Arrojo de desmonte en terreno baldío,C,2,2025-06-05,22:51:14,1,4,21,4.0,
89,"-6.854154,-79.82396",-6.854154,-79.82396,Ciclista transita por vereda peatonal,B,2,2025-06-05,22:56:37,1,5,7,2.0,
90,"-6.867689,-79.816396",-6.867689,-79.816396,Acumulación de basura en canal de regadío,B,3,2025-06-07,20:13:57,0,4,23,,10.0
91,"-6.867626,-79.820455",-6.867626,-79.820455,Robo de motocicleta en horario nocturno,A,1,2025-06-05,23:58:52,0,2,24,3.0,
92,"-6.859493,-79.81447",-6.859493,-79.81447,Riña callejera entre jóvenes,A,1,2025-06-08,22:57:00,1,2,17,,12.0
93,"-6.869108,-79.818844",-6.869108,-79.818844,Venta de comida en mal estado,B,3,2025-06-08,12:17:34,0,3,10,6.0,
94,"-6.864929,-79.818191",-6.864929,-79.818191,Consumo de alcohol en vía pública,A,2,2025-06-05,19:06:21,0,2,4,5.0,
95,"-6.861718,-79.817123",-6.861718,-79.817123,Arrojo de desmonte en terreno baldío,B,1,2025-06-08,20:01:07,1,4,4,,5.0
96,"-6.86526,-79.822341",-6.86526,-79.822341,Bache grande en la pista principal,B,3,2025-06-08,06:12:39,1,1,15,,7.0
97,"-6.86447,-79.816263",-6.86447,-79.816263,Poste de alumbrado público no funciona,C,P,2025-06-05,05:17:01,0,1,9,,12.0
98,"-6.864936,-79.819059",-6.864936,-79.819059,Ciclista transita por vereda peatonal,C,3,2025-06-05,02:16:28,0,5,23,,12.0
99,"-6.863374,-79.817864",-6.863374,-79.817864,Tala de árbol sin autorización,C,2,2025-06-06,12:46:52,0,4,20,,7.0
100,"-6.853685,-79.828366",-6.853685,-79.828366,Violencia familiar reportada por vecinos,A,1,2025-06-06,20:38:05,1,2,17,,9.0
101,"-6.861988,-79.821003",-6.861988,-79.821003,Robo de motocicleta en horario nocturno,A,1,2025-06-07,12:19:13,0,2,20,,11.0
102,"-6.863664,-79.814244",-6.863664,-79.814244,Contaminación sonora por construcción,C,2,2025-06-06,04:44:40,1,4,3,1.0,
103,"-6.865384,-79.819362",-6.865384,-79.819362,Contaminación sonora por construcción,A,1,2025-06-07,03:52:00,0,4,2,5.0,
104,"-6.861377,-79.821714",-6.861377,-79.821714,Mototaxi no respeta paradero establecido,B,1,2025-06-06,20:38:35,1,5,8,5.0,
105,"-6.86665,-79.808033",-6.86665,-79.808033,Local comercial sin autorización municipal,B,1,2025-06-06,16:01:44,1,3,19,,10.0
106,"-6.867717,-79.813511",-6.867717,-79.813511,Hurto en tienda del barrio,A,2,2025-06-07,22:54:12,1,2,12,5.0,
107,"-6.861164,-79.814767",-6.861164,-79.814767,Alcantarilla tapada genera mal olor,B,2,2025-06-06,19:04:25,1,1,16,,12.0
108,"-6.864146,-79.827541",-6.864146,-79.827541,Vendedor ambulante sin licencia,A,2,2025-06-07,16:37:01,1,3,8,3.0,
109,"-6.864374,-79.822426",-6.864374,-79.822426,Riña callejera entre jóvenes,A,2,2025-06-08,23:17:56,0,2,7,,9.0
110,"-6.866757,-79.819964",-6.866757,-79.819964,Vandalismo en propiedad municipal,B,2,2025-06-06,21:02:20,0,2,16,5.0,
111,"-6.868503,-79.816856",-6.868503,-79.816856,Falta de recojo de basura hace 3 días,C,P,2025-06-07,17:01:40,0,1,23,5.0,
112,"-6.868807,-79.817463",-6.868807,-79.817463,Poste de alumbrado público no funciona,B,3,2025-06-08,03:19:48,0,1,6,2.0,
113,"-6.860724,-79.82194",-6.860724,-79.82194,Mal manejo de aguas residuales,C,P,2025-06-06,23:56:24,0,4,13,6.0,
114,"-6.866068,-79.818723",-6.866068,-79.818723,Venta de comida en mal estado,C,2,2025-06-06,12:15:43,1,3,19,,10.0
115,"-6.861909,-79.821641",-6.861909,-79.821641,Ciclista transita por vereda peatonal,B,3,2025-06-07,11:29:07,1,5,4,,8.0
116,"-6.863708,-79.818419",-6.863708,-79.818419,Arrojo de desmonte en terreno baldío,C,3,2025-06-06,06:15:59,0,4,22,4.0,
117,"-6.864684,-79.815922",-6.864684,-79.815922,Bache grande en la pista principal,C,2,2025-06-06,19:03:43,1,1,1,1.0,
118,"-6.870442,-79.821973",-6.870442,-79.821973,Riña callejera entre jóvenes,C,3,2025-06-06,10:48:18,1,2,4,,8.0
119,"-6.851623,-79.820242",-6.851623,-79.820242,Robo de motocicleta en horario nocturno,B,3,2025-06-07,21:38:54,1,2,23,,8.0
120,"-6.858283,-79.809273",-6.858283,-79.809273,Robo de motocicleta en horario nocturno,A,2,2025-06-06,21:18:06,1,2,16,1.0,
121,"-6.86458,-79.818589",-6.86458,-79.818589,Chofer de combi maneja imprudentemente,A,2,2025-06-06,10:48:33,0,5,16,1.0,
122,"-6.867399,-79.816051",-6.867399,-79.816051,"Parque sin mantenimiento, grass alto",C,P,2025-06-06,17:55:39,1,1,22,6.0,
123,"-6.860257,-79.816096",-6.860257,-79.816096,Bache grande en la pista principal,B,1,2025-06-06,13:47:47,0,1,7,4.0,
124,"-6.867882,-79.8168",-6.867882,-79.8168,Contaminación sonora por construcción,C,P,2025-06-06,03:57:03,1,4,20,,4.0
125,"-6.866476,-79.824038",-6.866476,-79.824038,Local comercial sin autorización municipal,C,3,2025-06-06,14:57:40,0,3,20,2.0,
126,"-6.860356,-79.814513",-6.860356,-79.814513,Chofer de combi maneja imprudentemente,B,3,2025-06-07,18:57:02,1,5,2,4.0,
127,"-6.865219,-79.813905",-6.865219,-79.813905,Robo de motocicleta en horario nocturno,A,2,2025-06-07,00:40:34,1,2,24,,4.0
128,"-6.857439,-79.827461",-6.857439,-79.827461,Semáforo malogrado en el cruce,B,2,2025-06-08,07:49:19,1,1,15,,5.0
129,"-6.876523,-79.815351",-6.876523,-79.815351,Mototaxi no respeta paradero establecido,B,2,2025-06-06,20:36:05,0,5,2,,12.0
130,"-6.862917,-79.818402",-6.862917,-79.818402,Vehículo de carga obstruye tránsito,B,3,2025-06-06,04:02:04,1,5,2,,1.0
131,"-6.863087,-79.817389",-6.863087,-79.817389,Bache grande en la pista principal,C,2,2025-06-06,08:18:03,1,1,13,,1.0
132,"-6.871733,-79.817172",-6.871733,-79.817172,Fuga de agua en tubería principal,C,3,2025-06-08,06:11:58,0,1,24,5.0,
133,"-6.868665,-79.817602",-6.868665,-79.817602,Chofer de combi maneja imprudentemente,C,2,2025-06-06,04:08:59,1,5,19,,9.0
134,"-6.864312,-79.818098",-6.864312,-79.818098,Ciclista transita por vereda peatonal,B,3,2025-06-07,17:26:42,1,5,9,,10.0
135,"-6.86078,-79.813792",-6.86078,-79.813792,Vandalismo en propiedad municipal,B,2,2025-06-07,00:31:21,0,2,11,,12.0
136,"-6.864747,-79.816349",-6.864747,-79.816349,Vehículo de carga obstruye tránsito,B,3,2025-06-08,04:00:41,0,5,6,,11.0
137,"-6.85965,-79.817102",-6.85965,-79.817102,Vehículo de carga obstruye tránsito,B,3,2025-06-07,18:20:03,0,5,7,,1.0
138,"-6.859963,-79.813902",-6.859963,-79.813902,Mal manejo de aguas residuales,B,3,2025-06-07,07:18:30,1,4,8,,7.0
139,"-6.864785,-79.817427",-6.864785,-79.817427,Falta de recojo de basura hace 3 días,B,2,2025-06-07,18:21:24,1,1,13,4.0,
140,"-6.868252,-79.818745",-6.868252,-79.818745,Local comercial sin autorización municipal,B,2,2025-06-07,17:10:04,1,3,2,1.0,
141,"-6.866104,-79.816288",-6.866104,-79.816288,Local comercial sin autorización municipal,C,P,2025-06-07,21:10:14,0,3,2,,9.0
142,"-6.865013,-79.816654",-6.865013,-79.816654,Poste de alumbrado público no funciona,C,2,2025-06-07,17:52:23,0,1,24,5.0,
143,"-6.864855,-79.818976",-6.864855,-79.818976,Fuga de agua en tubería principal,A,2,2025-06-07,06:10:32,0,1,19,1.0,
144,"-6.865488,-79.815585",-6.865488,-79.815585,Vehículo de carga obstruye tránsito,A,2,2025-06-07,23:21:42,1,5,20,,5.0
145,"-6.860794,-79.816734",-6.860794,-79.816734,Vendedor ambulante sin licencia,C,3,2025-06-09,16:42:37,0,3,12,,5.0
146,"-6.868686,-79.819835",-6.868686,-79.819835,Ruido excesivo por música de cantina,C,P,2025-06-07,10:40:32,1,3,19,,8.0
147,"-6.869353,-79.821235",-6.869353,-79.821235,Semáforo malogrado en el cruce,C,P,2025-06-09,19:31:55,0,1,19,,10.0
148,"-6.864118,-79.81735",-6.864118,-79.81735,Vendedor ambulante sin licencia,A,1,2025-06-08,16:15:39,0,3,12,5.0,
149,"-6.865879,-79.818543",-6.865879,-79.818543,Fuga de agua en tubería principal,A,1,2025-06-09,17:14:13,1,1,3,,10.0
150,"-6.863278,-79.817766",-6.863278,-79.817766,Chofer de combi maneja imprudentemente,B,1,2025-06-07,14:12:41,1,5,11,,3.0
151,"-6.860271,-79.820913",-6.860271,-79.820913,Quema de basura contamina el aire,B,1,2025-06-07,21:42:12,0,4,5,,11.0
152,"-6.855916,-79.818206",-6.855916,-79.818206,Falta de recojo de basura hace 3 días,B,3,2025-06-07,19:56:23,0,1,16,,2.0
153,"-6.862775,-79.819414",-6.862775,-79.819414,Mototaxi no respeta paradero establecido,B,1,2025-06-07,15:00:07,0,5,12,,2.0
154,"-6.864568,-79.818493",-6.864568,-79.818493,Local comercial sin autorización municipal,C,3,2025-06-09,12:22:14,0,3,17,,7.0
155,"-6.865516,-79.825312",-6.865516,-79.825312,Violencia familiar reportada por vecinos,B,2,2025-06-07,08:01:27,1,2,19,4.0,
156,"-6.863523,-79.815977",-6.863523,-79.815977,Poste de alumbrado público no funciona,A,2,2025-06-08,00:27:09,0,1,22,,6.0
157,"-6.866005,-79.81258",-6.866005,-79.81258,"Parque sin mantenimiento, grass alto",A,2,2025-06-07,09:33:17,1,1,7,,4.0
158,"-6.868857,-79.822389",-6.868857,-79.822389,Contaminación sonora por construcción,C,2,2025-06-07,23:22:34,0,4,5,5.0,
159,"-6.871825,-79.808467",-6.871825,-79.808467,Chofer de combi maneja imprudentemente,C,3,2025-06-07,23:59:59,0,5,19,,10.0
160,"-6.86157,-79.812879",-6.86157,-79.812879,"Parque sin mantenimiento, grass alto",B,1,2025-06-07,07:52:10,1,1,4,5.0,
161,"-6.869362,-79.8163",-6.869362,-79.8163,Quema de basura contamina el aire,B,3,2025-06-07,09:36:30,0,4,1,,3.0
162,"-6.865523,-79.814532",-6.865523,-79.814532,Ciclista transita por vereda peatonal,A,1,2025-06-10,13:28:32,1,5,10,1.0,
163,"-6.861535,-79.820982",-6.861535,-79.820982,Vendedor ambulante sin licencia,C,2,2025-06-10,08:37:27,1,3,18,,12.0
164,"-6.86351,-79.8161",-6.86351,-79.8161,Semáforo malogrado en el cruce,B,2,2025-06-08,19:45:09,1,1,9,,5.0
165,"-6.872811,-79.830826",-6.872811,-79.830826,Poste de alumbrado público no funciona,A,2,2025-06-10,04:22:14,0,1,16,,6.0
166,"-6.870281,-79.807258",-6.870281,-79.807258,Fuga de agua en tubería principal,B,3,2025-06-08,19:33:34,0,1,19,,1.0
167,"-6.867169,-79.81422",-6.867169,-79.81422,Obstrucción de vereda por mercadería,B,2,2025-06-08,09:15:28,1,3,7,1.0,
168,"-6.863402,-79.817802",-6.863402,-79.817802,Fuga de agua en tubería principal,B,1,2025-06-10,18:10:59,0,1,15,,1.0
169,"-6.864812,-79.818437",-6.864812,-79.818437,Alcantarilla tapada genera mal olor,A,1,2025-06-08,06:04:06,1,1,13,,4.0
170,"-6.872896,-79.831236",-6.872896,-79.831236,Vendedor ambulante sin licencia,A,1,2025-06-10,10:37:31,1,3,16,4.0,
171,"-6.864605,-79.8183",-6.864605,-79.8183,Vehículo de carga obstruye tránsito,A,1,2025-06-08,14:10:11,1,5,2,1.0,
172,"-6.864339,-79.821779",-6.864339,-79.821779,Quema de basura contamina el aire,C,P,2025-06-08,01:14:03,0,4,21,,11.0
173,"-6.863062,-79.817581",-6.863062,-79.817581,Vandalismo en propiedad municipal,A,1,2025-06-08,01:54:57,0,2,6,1.0,
174,"-6.859484,-79.821865",-6.859484,-79.821865,Tala de árbol sin autorización,C,P,2025-06-08,17:38:17,1,4,25,,1.0
175,"-6.870295,-79.809654",-6.870295,-79.809654,Riña callejera entre jóvenes,B,2,2025-06-08,23:59:56,0,2,8,5.0,
176,"-6.85665,-79.813317",-6.85665,-79.813317,Robo de motocicleta en horario nocturno,C,2,2025-06-10,22:47:34,0,2,2,4.0,
177,"-6.866494,-79.819929",-6.866494,-79.819929,Violencia familiar reportada por vecinos,C,P,2025-06-08,23:55:26,0,2,3,,7.0
178,"-6.862633,-79.81827",-6.862633,-79.81827,Ruido excesivo por música de cantina,B,3,2025-06-08,16:23:57,0,3,9,1.0,
179,"-6.866063,-79.818238",-6.866063,-79.818238,Chofer de combi maneja imprudentemente,A,1,2025-06-08,17:52:19,0,5,22,6.0,
180,"-6.865509,-79.818574",-6.865509,-79.818574,Bache grande en la pista principal,B,1,2025-06-08,07:32:46,0,1,19,5.0,
181,"-6.85039,-79.815078",-6.85039,-79.815078,Ciclista transita por vereda peatonal,B,1,2025-06-08,20:18:30,0,5,9,6.0,
182,"-6.863947,-79.81924",-6.863947,-79.81924,Arrojo de desmonte en terreno baldío,C,3,2025-06-08,23:14:23,1,4,21,3.0,
183,"-6.868396,-79.819784",-6.868396,-79.819784,Paradero informal genera congestión,A,2,2025-06-10,16:47:12,0,5,15,,2.0
184,"-6.86373,-79.817348",-6.86373,-79.817348,Chofer de combi maneja imprudentemente,C,2,2025-06-08,13:04:08,0,5,15,4.0,
185,"-6.869183,-79.812874",-6.869183,-79.812874,Local comercial sin autorización municipal,A,1,2025-06-08,18:34:05,1,3,22,,6.0
186,"-6.857645,-79.82163",-6.857645,-79.82163,Vehículo de carga obstruye tránsito,B,1,2025-06-08,13:52:35,0,5,17,4.0,
187,"-6.869316,-79.827347",-6.869316,-79.827347,Falta de recojo de basura hace 3 días,B,2,2025-06-10,17:42:08,0,1,9,,5.0
188,"-6.867696,-79.817091",-6.867696,-79.817091,Chofer de combi maneja imprudentemente,A,2,2025-06-08,11:23:37,0,5,23,,2.0
189,"-6.86589,-79.823095",-6.86589,-79.823095,Comerciante no respeta horarios establecidos,B,2,2025-06-08,10:36:37,0,3,13,2.0,
190,"-6.858003,-79.823089",-6.858003,-79.823089,Paradero informal genera congestión,C,2,2025-06-12,12:06:06,1,5,22,4.0,
191,"-6.867059,-79.819014",-6.867059,-79.819014,Obstrucción de vereda por mercadería,B,2,2025-06-12,14:19:43,1,3,5,3.0,
192,"-6.864916,-79.8211",-6.864916,-79.8211,Mal manejo de aguas residuales,B,3,2025-06-09,18:46:38,0,4,1,,3.0
193,"-6.863815,-79.816997",-6.863815,-79.816997,"Parque sin mantenimiento, grass alto",B,2,2025-06-09,17:11:24,0,1,1,,4.0
194,"-6.875242,-79.806411",-6.875242,-79.806411,Chofer de combi maneja imprudentemente,B,2,2025-06-11,03:30:13,1,5,8,,8.0
195,"-6.872085,-79.810649",-6.872085,-79.810649,Paradero informal genera congestión,B,1,2025-06-09,10:44:43,1,5,3,,9.0
196,"-6.865057,-79.816978",-6.865057,-79.816978,Quema de basura contamina el aire,B,1,2025-06-09,02:24:45,0,4,17,5.0,
